facility_latitude,facility_longitude,type
36.3674611,127.4375622,guard
36.3568997,127.4331075,guard
36.3162039,127.4593855,guard
36.3456106,127.4346622,guard
36.341485,127.4101866,guard
36.3048282,127.3174384,guard
36.3572636,127.4506927,guard
36.3079353,127.3758195,guard
36.3500205,127.3954989,guard
36.3171959,127.4094206,guard
36.3468673,127.4379803,guard
36.3082724,127.3774784,guard
36.2986819,127.3308113,guard
36.2737865,127.3785295,guard
36.2548575,127.3409191,guard
36.3501434,127.4193916,guard
36.3400673,127.3855856,guard
36.3251024,127.3816495,guard
36.3281433,127.4553909,guard
36.3415022,127.4322947,guard
36.3315789,127.4434068,guard
36.4471746,127.4340867,guard
36.3475519,127.3672634,guard
36.3364212,127.4488354,guard
36.3418763,127.3761146,guard
36.303401,127.367375,guard
36.3397992,127.3853078,guard
36.2847209,127.4683672,guard
36.3084154,127.3897785,guard
36.3514185,127.4474454,guard
36.3256924,127.3854206,guard
36.3436022,127.4314866,guard
36.3200112,127.4251916,guard
36.2980369,127.363181,guard
36.4325144,127.4200547,guard
36.3069372,127.4015649,guard
36.364172,127.4105206,guard
36.3485846,127.4309185,guard
36.3087577,127.4448756,guard
36.4485005,127.4208144,guard
36.324234,127.3848206,guard
36.3436702,127.3925658,guard
36.3748314,127.3224019,guard
36.3629483,127.4161965,guard
36.3633428,127.3689671,guard
36.3594424,127.3325828,guard
36.2999426,127.3855635,guard
36.3130721,127.4335765,guard
36.3040646,127.3167337,guard
36.3008027,127.3332625,guard
36.3555698,127.4297684,guard
36.3307361,127.3800395,guard
36.3027981,127.3373136,guard
36.3548428,127.3580674,guard
36.3135064,127.4327394,guard
36.2992378,127.3160941,guard
36.413298,127.3378086,guard
36.329819,127.4147002,guard
36.2874826,127.464903,guard
36.3251097,127.4457109,guard
36.360956,127.4506442,guard
36.3033401,127.3373482,guard
36.3295324,127.4390146,guard
36.3549267,127.4549906,guard
36.3203039,127.3987336,guard
36.3165932,127.4602274,guard
36.279324,127.4684098,guard
36.4329424,127.3852748,guard
36.4356165,127.382595,guard
36.3618021,127.4236359,guard
36.3397913,127.395539,guard
36.3210127,127.398587,guard
36.3671385,127.37409,guard
36.3483782,127.399896,guard
36.3167853,127.4602398,guard
36.3521409,127.3664558,guard
36.3590895,127.3971971,guard
36.42539,127.3888818,guard
36.3801691,127.3249225,guard
36.3554815,127.4130125,guard
36.3216316,127.4317885,guard
36.3607173,127.3379342,guard
36.314252,127.3935123,guard
36.3639875,127.4224961,guard
36.4419894,127.4274834,guard
36.3067198,127.394095,guard
36.3453324,127.4426048,guard
36.3268179,127.4115797,guard
36.3230854,127.3886929,guard
36.3441903,127.4484582,guard
36.3624593,127.3768825,guard
36.3481142,127.4130142,guard
36.3099241,127.3373044,guard
36.3122079,127.320251,guard
36.3225461,127.4609188,guard
36.355695,127.4496132,guard
36.3590141,127.4116559,guard
36.317958,127.4343891,guard
36.2978935,127.3199875,guard
36.3411916,127.4090117,guard
36.3647856,127.4272902,guard
36.3183495,127.3892089,guard
36.4476313,127.4123535,guard
36.3111555,127.3842552,guard
36.3236122,127.420625,guard
36.3432493,127.4308313,guard
36.3731786,127.4272373,guard
36.3266036,127.4629658,guard
36.3459837,127.4496144,guard
36.3390278,127.3841083,guard
36.3000272,127.3543978,guard
36.3495202,127.3795535,guard
36.3168336,127.4443683,guard
36.3018794,127.4477603,guard
36.3351176,127.4166314,guard
36.3134205,127.3210717,guard
36.3137832,127.3811015,guard
36.422944,127.3882283,guard
36.430199,127.3849579,guard
36.357183,127.4130813,guard
36.3308817,127.3778731,guard
36.3108191,127.3820328,guard
36.362022,127.3772905,guard
36.3675447,127.4330137,guard
36.3686521,127.3759282,guard
36.3609467,127.3717445,guard
36.3421468,127.443048,guard
36.4461422,127.4274495,guard
36.3556085,127.4128159,guard
36.4008735,127.4236372,guard
36.432532,127.4237989,guard
36.3487038,127.4243839,guard
36.3237933,127.373972,guard
36.3068738,127.3411468,guard
36.3446362,127.4494701,guard
36.3181324,127.4146363,guard
36.3662402,127.4328611,guard
36.3742589,127.4199588,guard
36.2494785,127.3389703,guard
36.3091687,127.4557399,guard
36.3235766,127.4583081,guard
36.3489732,127.4217043,guard
36.307313,127.4013249,guard
36.304658,127.3661717,guard
36.3302681,127.3796195,guard
36.331271,127.3801921,guard
36.4487175,127.4142414,guard
36.2980392,127.4610395,guard
36.3287567,127.3780631,guard
36.3634474,127.4437394,guard
36.3301127,127.4154224,guard
36.3044345,127.3541099,guard
36.3751751,127.3929899,guard
36.3007028,127.377802,guard
36.3520624,127.4478092,guard
36.3597409,127.4138885,guard
36.3669389,127.4119343,guard
36.3236345,127.4045363,guard
36.3123749,127.3740918,guard
36.3595229,127.4144369,guard
36.3367916,127.4515648,guard
36.3415053,127.4424406,guard
36.3584694,127.4295534,guard
36.364007,127.4258478,guard
36.3135871,127.3969961,guard
36.3644015,127.4272882,guard
36.3982759,127.4004868,guard
